ID,Title,Year,Approach,ROI Selection,Neuronal Networks,Algorithms,Evaluation Results,Datasets,Frequency Extraction,Implemented,Loss Function,BibTxt,optimizer,learning rate,GitHub
Tan2024LightweightVR,Lightweight Video-Based Respiration Rate Detection Algorithm: An Application Case on Intensive Care,2024,Motion,Automatic,No,"1. Original Optical Flow (OOF) method
2. Improved Optical Flow (IOF) method with feature point selection strategy
3. Correlation-Guided method
4. Negative Feedback Crossover Point (NFCP) method
5. Fast Fourier Transform (FFT)
6. Peak Counting (PC) method
7. Crossover Point (CP) method","1. Mean Absolute Error (MAE):
   - Original Optical Flow (OOF) method: 4.41 bpm
   - Proposed algorithm: 4.35 bpm

2. Root Mean Absolute Error (RMAE):
   - Original Optical Flow (OOF) method: 4.96 bpm
   - Proposed algorithm: 4.92 bpm  

3. Root Mean Squared Error (RMSE):
   - Original Optical Flow (OOF) method: 38.39 bpm
   - Proposed algorithm: 37.61 bpm

4. Mean Squared Error (MSE):
   - Not explicitly reported, but can be derived from the RMSE values.

5. Pearson Correlation Coefficient:
   - Used in the Correlation-Guided method to remove irrelevant feature points. A threshold of 0.4 was used.",LBRD-IC,NFCP,Yes,,"@ARTICLE{Tan2024LightweightVR,
author={Tan, Xudong and Hu, Menghan and Zhai, Guangtao and Zhu, Yan and Li, Wenfang and Zhang, Xiao-Ping},
journal={IEEE Transactions on Multimedia},
title={Lightweight Video-Based Respiration Rate Detection Algorithm: An Application Case on Intensive Care},
year={2024},
volume={26},
number={},
pages={1761-1775},
keywords={Feature extraction;Optical flow;Estimation;Temperature measurement;Signal detection;Videos;Cameras;ICU application;non-contact detection;physiological signals;respiratory rate measurements},
doi={10.1109/TMM.2023.3286994}
}",,,https://github.com/ShawnTan86/
Maxwell2023non,Non-Contact Breathing Rate Detection Using Optical Flow,2023,Motion,Automatic,No,"1. Point Detection:
- Face points: The KAPAO human pose estimation method is used to detect three facial points - midpoint between eyes, nose, and chin. These are identified as least affected by facial deformations or noise.
- Chest points: The OpenPose library is used to detect key points on the human body. Two approaches are tested - using left shoulder, right shoulder, and neck points; and using a triangular grid of points with shoulder points as the base.

2. Optical Flow: The Lucas-Kanade optical flow algorithm tracks the detected points through each video frame. The difference in the y-coordinate positions of the points between frames generates the raw signal.

3. Post-Processing: The raw signal is band-pass filtered between 0.1-0.5 Hz (6-30 breaths per minute range). Peak detection is performed on the filtered signal, and the breathing rate is calculated by dividing the number of peaks by the video length and multiplying by 60.","1. The chest-based methods performed the best in detecting breathing rate:
- The three chest points method had the lowest RMSE of 0.6305 on average (Reference: Table 1)
- The chest grid method also provided a strong and reliable signal, with an average RMSE of 0.76511 (Reference: Table 1)

2. The face-based method was the weakest, with an average RMSE of 7.0288 (Reference: Table 1).
- The face-based method was more susceptible to noise from head/body movements.

3. The chest-based methods were able to accurately detect breathing rate even with low levels of participant motion, while the face-based method required very low levels of noise to produce an accurate signal (Reference: Figures 4 and 5).

4. Compared to other breathing rate detection methods reported in the literature, this optical flow-based approach produced lower RMSEs (Reference: p.4 ""This method produces a lower RMSE than many other BR detection methods"").",,PC,,,"@article{Maxwell2023non,
doi = {10.5281/ZENODO.8238518},

url = {https://zenodo.org/record/8238518},

author = {Maxwell, Robyn and Hanley, Timothy and Golden, Dara and Andonie, Adara and Parsi, Ashkan and Lemley, Joseph},

keywords = {Breathing Rate, Optical Flow, Face Detection, Driver Monitoring},

title = {Non-Contact Breathing Rate Detection Using Optical Flow},

publisher = {Zenodo},

year = {2023},

copyright = {Creative Commons Attribution 4.0 International}
}",,,
Narayanswamy2023bigsmall,BigSmall: Efficient Multi-Task Learning for Disparate Spatial and Temporal Physiological Measurements,2023,"Motion, rPPG",None,Yes,"1. Temporal Shift Modules (TSM)
2. Wrapping Temporal Shift Modules (WTSM)
3. SlowFast Networks
4. Supervised neural networks for remote photoplethysmography (rPPG) and action unit (AU) detection","Heart Rate:
- MAE: 2.38
- RMSE: 6.00
- MAPE: 3.39
- ρ: 0.89

Breathing Rate: 
- MAE: 3.39
- RMSE: 5.00
- MAPE: 16.65
- ρ: 0.21

AU Average:
- F1: 43.3
- Accuracy: 67.4","BP4D+, DISFA, PURE, UBFC",PC,Yes,MSE,"@misc{Narayanswamy2023bigsmall,
title={BigSmall: Efficient Multi-Task Learning for Disparate Spatial and Temporal Physiological Measurements},
author={Girish Narayanswamy and Yujia Liu and Yuzhe Yang and Chengqian Ma and Xin Liu and Daniel McDuff and Shwetak Patel},
year={2023},
eprint={2303.11573},
archivePrefix={arXiv},
primaryClass={cs.CV}
}",Adam,"According to the paper, the models are trained using an Adam optimizer with a learning rate of 0.001.

Specifically, the paper states:

""Models are trained for 5 epochs, using video chunks of N =3 consecutive frames, an Adam optimizer, and a learning rate of 0.001.""

So the learning rate used in the training of the BigSmall neuronal network model is 0.001.",https://github.com/ubicomplab/rPPG-Toolbox
Cheng_Liu_2023,Motion-Robust Respiratory Rate Estimation From Camera Videos via Fusing Pixel Movement and Pixel Intensity Information,2023,Motion,Automatic,No,"1. Spectral Subtraction (SS)
2. Canonical Correlation Analysis (CCA)
3. Empirical Mode Decomposition (EMD)
4. Ensemble EMD (EEMD)
5. Principal Component Analysis (PCA)
6. Lomb-Scargle Power Spectral Density
7. Signal-to-Noise Ratio (SNR)","1. MAE (Mean Absolute Error):
   - Best MAE of 1.07 bpm in the rest scenario
   - Best MAE of 1.49 bpm in the walking scenario

2. RMSE (Root Mean Square Error):
   - Best RMSE of 1.61 bpm in the rest scenario 
   - Best RMSE of 2.29 bpm in the walking scenario
   - Best RMSE of 3.51 bpm in the running scenario
   - Best RMSE of 2.96 bpm in the variety scenario

3. MER (Mean Error Rate):
   - Best MER of 8.52% in the rest scenario
   - Best MER of 12.77% in the walking scenario
   - Best MER of 21.38% in the running scenario
   - Best MER of 15.55% in the variety scenario

4. Detection Rate (DR):
   - Best DR of 90.83% in the rest scenario
   - Best DR of 83.33% in the",BSIPL-RR,Lomb-Scargle power spectral density (PSD),,MSE,"@article{Cheng_Liu_2023,
title={Motion-robust respiratory rate estimation from camera videos via fusing pixel movement and pixel intensity information},
author={Cheng, Juan and Liu, Runqing and Li, Jiajie and Song, Rencheng and Liu, Yu and Chen, Xun},
journal={IEEE Transactions on Instrumentation and Measurement},
year={2023},
publisher={IEEE}
}",,It only mentions that the Adam optimizer was used with a learning rate of 0.001 for the MSE loss function.,
Brieva2023NonContactBR,Non-Contact Breathing Rate Estimation Using Machine Learning with an Optimized Architecture,2023,Motion,None,Yes,"1. Hermite transform
2. Eulerian motion magnification
3. Artificial Hydrocarbon Network (AHN)
4. Convolutional Neural Network (CNN)
5. Bayesian optimization","1. MAE (Mean Absolute Error): 2.19 ± 2.1%
2. RMSE (Root Mean Square Error): 
   - AHN-MV: 0.55 bpm
   - CNN-MCV: 0.357 bpm
3. Pearson Correlation Coefficient (PCC):
   - AHN-MV: 0.986
   - CNN-MCV: 0.994

The article also reports the Bland-Altman analysis, showing a bias of 0.05 ± 1.09 bpm for the AHN-MV approach and 0.082 ± 0.69 bpm for the CNN-MCV approach.",Unavailable,???,,,"@article{Brieva2023NonContactBR,
title={Non-Contact Breathing Rate Estimation Using Machine Learning with an Optimized Architecture},
author={Jorge Brieva and Hiram Ponce and Ernesto Moya-Albor},
journal={Mathematics},
year={2023},
url={https://api.semanticscholar.org/CorpusID:256438207}
}",,,
Liu_Huang_2023,Contactless Respiratory Rate Monitoring For ICU Patients Based On Unsupervised Learning,2023,Motion,Manual,Yes,"1. Unsupervised learning method for respiratory signal extraction
2. Neural network-based RR estimator
3. Kanade-Lucas-Tomasi (KLT) feature tracker for ROI tracking
4. Fast Fourier Transform (FFT) for PSD computation","MAE: 2.651 breaths/min
RMAE: 13.8%  
RMSE: 3.525 breaths/min
STD: 3.383 breaths/min",Unavailable,FFT,,MSE,"@article{Liu_Huang_2023,
title={Contactless Respiratory Rate Monitoring For ICU Patients Based On Unsupervised Learning},
author={Zimeng Liu and Bin Huang and Chun-Liang Lin and Chieh-Liang Wu and Changchen Zhao and Wen‐Cheng Chao and Yu-Cheng Wu and Yadan Zheng and Zhiru Wang},
journal={2023 IEEE/CVF Conference on Computer Vision and Pattern Recognition Workshops (CVPRW)},
year={2023},
pages={6005-6014},
url={https://api.semanticscholar.org/CorpusID:260908731}
}",AdamW,"- For the respiratory signal extractor, the learning rate is set as 1×10^-5.

- For the RR (respiratory rate) estimator, the learning rate is set as 1×10^-4.

The authors mention that the AdamW optimizer is used to train the respiratory signal extractor model, while the Adam optimization algorithm is used to optimize the RR estimator model.",
Tan2023UnobtrusiveRM,Unobtrusive Respiratory Monitoring System for Intensive Care,2023,Motion,Manual,No,"1. Lucas Kanade optical flow method
2. Harris corner detection
3. Negative feedback crossover point method","1. RRmae (Respiratory Rate Mean Absolute Error):
- OOF-NFCP (Original Optical Flow with Negative Feedback Crossover Point): 3.96 bpm
- FSSOF-NFCP (Feature Selection Strategy Optical Flow with Negative Feedback Crossover Point): 4.03 bpm",LBRD-IC,NFCP,,,"@INPROCEEDINGS{Tan2023UnobtrusiveRM,
author={Tan, Xudong and Hu, Menghan and Zhai, Guangtao and Zhu, Yan and Li, Wenfang and Zhang, XiaoPing},
booktitle={ICASSP 2023 - 2023 IEEE International Conference on Acoustics, Speech and Signal Processing (ICASSP)},
title={Unobtrusive Respiratory Monitoring System for Intensive Care},
year={2023},
volume={},
number={},
pages={1-5},
keywords={Negative feedback;Surveillance;Signal processing algorithms;Estimation;Signal processing;Feature extraction;Speech processing;Respiratory rate measurements;Noncontact detection;Physiological signals;ICU application},
doi={10.1109/ICASSP49357.2023.10095831}}",,,
Wang_Brinker_2022,Algorithmic insights of camera-based respiratory motion extraction,2022,Motion,"Automatic, Manual",No,"1. OF-M1D: Optical flow-based respiratory signal extraction using multiple 1D profiles.
2. CC-2D: Cross-correlation based respiratory signal extraction using 2D profile.
3. OF-2D: Optical flow-based respiratory signal extraction using 2D profile.","Based on the information provided in the paper, the key performance metrics for the recommended OF-M1D algorithm are:

Mean Absolute Error (MAE): 
- 2.1 bpm in the day-light condition
- 4.4 bpm in the night condition

Pearson Correlation Coefficient:
- 0.68 in the day-light condition 
- 0.44 in the night condition

The paper does not explicitly report the RMAE, RMSE, or MSE values for the OF-M1D algorithm. The focus is on precision, recall, coverage, MAE, and Pearson correlation.",Unavailable,PC,,,"@article{Wang_Brinker_2022,
title={Algorithmic insights of camera-based respiratory motion extraction},
author={Wang, Wenjin and den Brinker, Albertus C},
journal={Physiological Measurement},
volume={43},
number={7},
pages={075004},
year={2022},
publisher={IOP Publishing}
}",,,
Guo2021remote.pdf,Remote estimation of respiration rate by optical flow using convolutional neural networks,2021,Motion,"Automatic, None",Yes,"1. Optical flow estimation using convolutional neural networks (CNNs):
- The method uses the FlowNet2-SD CNN model to estimate the optical flow between consecutive video frames.
- The optical flow captures the subtle upper body movements induced by periodic inhalation and exhalation during respiration cycles.

2. Extracting respiration signal from optical flow:
- The averaged value of the optical flow is calculated from each frame to construct the respiration signal over time.
- Depending on the camera orientation and subject's posture, either the horizontal or vertical component of the optical flow is used to extract the respiration signal with higher signal-to-noise ratio.

3. Respiratory rate estimation from respiration signal:
- The respiration rate is then extracted from the power spectral density (PSD) of the respiration signal using frequency analysis.
- The dominant frequency in the PSD within the range of 2-40 breaths per minute is identified as the final respiratory rate estimate.

4. Optimization and parameter tuning:
- The method explores the optimal settings for video frame rate, resolution, and temporal window duration to balance accuracy and computational cost.
- It also evaluates the effectiveness of using a person segmentation mask to suppress background noise in the optical flow.
- Comparisons are made against traditional optical flow methods and respiratory rate extraction using temporal domain analysis.","1. Correlation coefficient (ρ):
- The paper plots the estimated respiration rate (REST) against the ground truth respiration rate (RGT) and calculates the Pearson's correlation coefficient ρ.
- The results show a high correlation, indicating strong agreement between the estimated and ground truth respiration rates.

2. Root mean square error (ε):
- The paper plots a Bland-Altman plot to visualize the differences between REST and RGT against their mean.
- The root mean square error ε is calculated, which quantifies the overall accuracy of the respiration rate estimation.

The paper also explores the effects of various design parameters on the performance metrics:

- Frame rate: The optimal frame rate for optical flow sampling was around 4 Hz.
- Video resolution: The original video resolution (e.g. 480p) produced the best results, but reasonable accuracy could be achieved at reduced resolutions like 320p.
- Temporal window: A 30-second window provided comparable performance to using the full 60-second video clip.

Additionally, the paper compares the performance of the proposed method using a pre-trained CNN (FlowNet) versus traditional optical flow methods. The CNN-based approach outperformed the traditional methods.",COHFACE,"FFT, PC, CP",,,"@article{Guo2021remote,
author = {Tianqi Guo and Qian Lin and Jan Allebach},
title = {Remote estimation of respiration rate by optical flow using convolutional neural networks},
journal = {Electronic Imaging},
volume = {33},
number = {8},
pages = {267-1--267-1},
keywords = {Respiration rate, Convolutional neural network, Optical flow, Patient monitoring},
doi = {10.2352/ISSN.2470-1173.2021.8.IMAWM-267},
url = {https://library.imaging.org/ei/articles/33/8/art00004},
year = {2021},
}",,,
Luguern_Macwan_2021,Wavelet variance maximization: A contactless respiration rate estimation method based on remote photoplethysmography,2021,rPPG,Automatic,No,"1. CHROM
2. PBV
3. PVM
4. Wavelet Variance Maximization (WVM)","MAE (Mean Absolute Error):
- CHROM: 3.52
- PBV: 3.63 
- PVM: 3.87
- WVM: 2.54

RMSE (Root Mean Square Error): 
- CHROM: 4.97
- PBV: 5.00
- PVM: 5.43
- WVM: 4.02

Pearson Correlation Coefficient (r):
- CHROM: 0.45 ± 0.04
- PBV: 0.46 ± 0.03
- PVM: 0.37 ± 0.04
- WVM: 0.61 ± 0.03",Unavailable,PC,,,"@article{Luguern_Macwan_2021,
title={Wavelet variance maximization: a contactless respiration rate estimation method based on remote photoplethysmography},
author={Luguern, Duncan and Macwan, Richard and Benezeth, Yannick and Moser, Virginie and Dunbar, L Andrea and Braun, Fabian and Lemkaddem, Alia and Dubois, Julien},
journal={Biomedical Signal Processing and Control},
volume={63},
pages={102263},
year={2021},
publisher={Elsevier}
}",,,
