model,method,MAE,RMSE,PCC,PCC-p-value
raft_large,cp,2.337,3.336,0.366,0.0
raft_large,nfcp,3.213,4.364,0.042,0.0
raft_large,pk,2.273,3.391,0.536,0.0
raft_large,psd,1.63,2.857,0.781,0.0
raft_small,cp,2.553,3.416,0.342,0.0
raft_small,nfcp,2.916,4.088,0.12,0.0
raft_small,pk,2.207,3.162,0.593,0.0
raft_small,psd,1.565,2.76,0.798,0.0
FlowNet2,cp,2.612,3.423,0.361,0.0
FlowNet2,nfcp,2.968,4.0,0.158,0.0
FlowNet2,pk,2.341,3.171,0.587,0.0
FlowNet2,psd,2.049,3.688,0.669,0.0
FlowNet2C,cp,2.245,3.233,0.476,0.0
FlowNet2C,nfcp,2.107,2.997,0.436,0.0
FlowNet2C,pk,1.98,3.082,0.683,0.0
FlowNet2C,psd,2.571,4.258,0.651,0.0
FlowNet2CS,cp,2.18,3.17,0.515,0.0
FlowNet2CS,nfcp,1.784,2.736,0.513,0.0
FlowNet2CS,pk,1.739,2.746,0.771,0.0
FlowNet2CS,psd,1.988,3.717,0.702,0.0
FlowNet2CSS,cp,2.535,3.723,0.243,0.0
FlowNet2CSS,nfcp,2.232,3.375,0.296,0.0
FlowNet2CSS,pk,2.368,3.525,0.517,0.0
FlowNet2CSS,psd,2.579,4.672,0.558,0.0
FlowNet2S,cp,2.31,3.459,0.378,0.0
FlowNet2S,nfcp,2.644,3.994,0.253,0.0
FlowNet2S,pk,2.174,3.284,0.598,0.0
FlowNet2S,psd,1.857,3.212,0.736,0.0
FlowNet2SD,cp,2.356,3.53,0.356,0.0
FlowNet2SD,nfcp,2.727,3.912,0.176,0.0
FlowNet2SD,pk,2.637,4.082,0.304,0.0
FlowNet2SD,psd,2.304,4.147,0.638,0.0
mtts_can,cp,4.455,5.28,0.057,0.0
mtts_can,nfcp,5.037,5.952,-0.062,0.0
mtts_can,pk,4.502,5.564,0.036,0.0
mtts_can,psd,4.022,5.481,0.33,0.0
big_small,cp,5.135,6.041,-0.248,0.0
big_small,nfcp,5.566,6.557,-0.29,0.0
big_small,pk,4.871,5.93,-0.142,0.0
big_small,psd,3.794,5.199,0.353,0.0
lucas_kanade_cgof,cp,1.781,2.788,0.704,0.0
lucas_kanade_cgof,nfcp,1.519,2.349,0.719,0.0
lucas_kanade_cgof,pk,1.55,2.573,0.821,0.0
lucas_kanade_cgof,psd,1.712,3.19,0.791,0.0
lucas_kanade,cp,1.792,2.804,0.698,0.0
lucas_kanade,nfcp,1.53,2.352,0.714,0.0
lucas_kanade,pk,1.53,2.567,0.82,0.0
lucas_kanade,psd,1.711,3.197,0.791,0.0
pixel_intensity_rgb,cp,1.751,2.704,0.642,0.0
pixel_intensity_rgb,nfcp,1.791,2.667,0.538,0.0
pixel_intensity_rgb,pk,2.179,3.405,0.702,0.0
pixel_intensity_rgb,psd,3.017,5.292,0.545,0.0
pixel_intensity_grey,cp,1.788,2.754,0.629,0.0
pixel_intensity_grey,nfcp,1.838,2.739,0.506,0.0
pixel_intensity_grey,pk,2.258,3.507,0.682,0.0
pixel_intensity_grey,psd,2.957,5.235,0.545,0.0
BP4D_PseudoLabel_TSCAN,cp,4.642,5.44,-0.17,0.0
BP4D_PseudoLabel_TSCAN,nfcp,5.169,5.986,-0.131,0.0
BP4D_PseudoLabel_TSCAN,pk,4.697,5.834,-0.204,0.0
BP4D_PseudoLabel_TSCAN,psd,6.057,7.19,0.157,0.0
MA-UBFC_tscan,cp,5.036,5.888,-0.127,0.0
MA-UBFC_tscan,nfcp,5.711,6.541,-0.174,0.0
MA-UBFC_tscan,pk,4.527,5.533,-0.105,0.0
MA-UBFC_tscan,psd,5.6,7.005,0.168,0.0
PURE_TSCAN,cp,4.93,5.884,-0.291,0.0
PURE_TSCAN,nfcp,5.219,6.139,-0.221,0.0
PURE_TSCAN,pk,4.648,5.719,-0.142,0.0
PURE_TSCAN,psd,4.965,6.436,0.145,0.0
SCAMPS_TSCAN,cp,4.637,5.443,0.067,0.0
SCAMPS_TSCAN,nfcp,5.393,6.286,-0.03,0.001
SCAMPS_TSCAN,pk,4.582,5.614,0.088,0.0
SCAMPS_TSCAN,psd,4.66,6.119,0.252,0.0
UBFC-rPPG_TSCAN,cp,4.524,5.225,0.06,0.0
UBFC-rPPG_TSCAN,nfcp,5.312,6.1,0.071,0.0
UBFC-rPPG_TSCAN,pk,4.607,5.687,-0.088,0.0
UBFC-rPPG_TSCAN,psd,4.623,6.201,0.273,0.0
BP4D_PseudoLabel_DeepPhys,cp,4.23,5.23,-0.088,0.0
BP4D_PseudoLabel_DeepPhys,nfcp,4.842,5.763,0.005,0.58
BP4D_PseudoLabel_DeepPhys,pk,4.162,5.241,-0.029,0.002
BP4D_PseudoLabel_DeepPhys,psd,5.063,6.673,0.157,0.0
MA-UBFC_deepphys,cp,5.351,6.216,-0.296,0.0
MA-UBFC_deepphys,nfcp,5.774,6.666,-0.307,0.0
MA-UBFC_deepphys,pk,5.221,6.161,-0.223,0.0
MA-UBFC_deepphys,psd,5.686,6.825,0.242,0.0
