model,setting,image_dimension,best_epoch,frequency_weight,mse_weight,norm_weight,pearson_weight,spectral_convergence_weight,spectral_magnitude_weight,split,components,mae,pcc,p,diff_mean,diff_std
RF_20240902_094648,101_natural_lighting,128,13,0.0,1.0,0.0,1.0,1.0,1.0,5,"['mse', 'pearson', 'spectral_convergence', 'spectral_magnitude']",2.983,0.415,0.0,-0.374,4.199
RF_20240902_123124,101_natural_lighting,128,7,1.0,0.0,1.0,1.0,0.0,0.0,5,"['frequency', 'norm', 'pearson']",2.668,0.406,0.0,-0.538,3.687
RF_20240902_152753,101_natural_lighting,128,5,1.0,1.0,1.0,1.0,0.0,0.0,5,"['frequency', 'mse', 'norm', 'pearson']",3.085,0.285,0.0,1.038,4.067
RF_20240902_181443,101_natural_lighting,128,17,0.0,0.0,0.0,1.0,0.0,0.0,5,['pearson'],3.235,0.229,0.0,0.593,4.37
RF_20240902_210159,101_natural_lighting,128,10,1.0,0.0,0.0,0.0,0.0,0.0,5,['frequency'],2.364,0.623,0.0,-1.642,3.12
RF_20240902_234749,101_natural_lighting,128,2,0.0,0.0,1.0,0.0,0.0,0.0,5,['norm'],5.085,0.227,0.0,3.033,5.311
RF_20240903_023334,101_natural_lighting,128,15,0.0,1.0,0.0,0.0,0.0,0.0,5,['mse'],4.026,0.068,0.0,-0.602,5.245
RF_20240903_051739,101_natural_lighting,128,17,0.0,0.0,0.0,0.0,1.0,0.0,5,['spectral_convergence'],2.452,0.592,0.0,-1.445,3.279
RF_20240903_080307,101_natural_lighting,128,20,0.0,0.0,0.0,0.0,0.0,1.0,5,['spectral_magnitude'],2.997,0.38,0.0,-1.119,3.961
RF_20240903_104800,101_natural_lighting,128,10,1.0,1.0,1.0,1.0,1.0,1.0,5,"['frequency', 'mse', 'norm', 'pearson', 'spectral_convergence', 'spectral_magnitude']",2.916,0.353,0.0,-0.819,4.043
RF_20240904_231209,101_natural_lighting,128,4,1.0,0.0,0.0,1.0,1.0,1.0,5,"['frequency', 'pearson', 'spectral_convergence', 'spectral_magnitude']",3.825,0.252,0.0,0.874,5.408
RF_20240905_094727,101_natural_lighting,128,21,1.0,1.0,0.0,0.0,1.0,1.0,5,"['frequency', 'mse', 'spectral_convergence', 'spectral_magnitude']",2.643,0.559,0.0,-2.008,3.337
RF_20240905_134835,101_natural_lighting,128,10,1.0,1.0,0.0,1.0,1.0,1.0,5,"['frequency', 'mse', 'pearson', 'spectral_convergence', 'spectral_magnitude']",3.416,0.159,0.0,-0.882,4.771
RF_20240905_173644,101_natural_lighting,128,13,0.0,0.0,1.0,0.0,1.0,1.0,5,"['norm', 'spectral_convergence', 'spectral_magnitude']",3.956,0.145,0.0,0.067,5.337
RF_20240905_233757,101_natural_lighting,128,21,1.0,0.0,0.0,0.0,1.0,0.0,5,"['frequency', 'spectral_convergence']",3.367,0.34,0.0,-1.628,4.014
RF_20240906_213402,101_natural_lighting,128,9,1.0,0.0,0.0,1.0,0.0,0.0,5,"['frequency', 'pearson']",3.981,0.163,0.0,-0.892,5.175
RF_20240907_190942,101_natural_lighting,128,21,1.0,0.0,0.0,1.0,0.0,0.0,5,"['frequency', 'pearson']",3.147,0.416,0.0,-1.488,3.983
