model,frequency_weight,mse_weight,norm_weight,pearson_weight,spectral_convergence_weight,spectral_magnitude_weight,mae,pcc
RF_20240902_094648,0.0,1.0,0.0,1.0,1.0,1.0,2.983,0.415
RF_20240902_123124,1.0,0.0,1.0,1.0,0.0,0.0,2.668,0.406
RF_20240902_152753,1.0,1.0,1.0,1.0,0.0,0.0,3.085,0.285
RF_20240902_181443,0.0,0.0,0.0,1.0,0.0,0.0,3.235,0.229
RF_20240902_210159,1.0,0.0,0.0,0.0,0.0,0.0,2.364,0.623
RF_20240902_234749,0.0,0.0,1.0,0.0,0.0,0.0,5.085,0.227
RF_20240903_023334,0.0,1.0,0.0,0.0,0.0,0.0,4.026,0.068
RF_20240903_051739,0.0,0.0,0.0,0.0,1.0,0.0,2.452,0.592
RF_20240903_080307,0.0,0.0,0.0,0.0,0.0,1.0,2.997,0.38
RF_20240903_104800,1.0,1.0,1.0,1.0,1.0,1.0,2.916,0.353
RF_20240904_231209,1.0,0.0,0.0,1.0,1.0,1.0,3.825,0.252
RF_20240905_094727,1.0,1.0,0.0,0.0,1.0,1.0,2.643,0.559
RF_20240905_134835,1.0,1.0,0.0,1.0,1.0,1.0,3.416,0.159
RF_20240905_173644,0.0,0.0,1.0,0.0,1.0,1.0,3.956,0.145
RF_20240905_233757,1.0,0.0,0.0,0.0,1.0,0.0,3.367,0.34
RF_20240906_213402,1.0,0.0,0.0,1.0,0.0,0.0,3.981,0.163
RF_20240907_190942,1.0,0.0,0.0,1.0,0.0,0.0,3.147,0.416
